#,Nombre,Comuna,Rating,Resenas,Telefono,Direccion,Instagram,Categoria
160,car wash o'conner,La Pintana,4.8,17,9 7609 0394,Av. Gabriela Ote. 1621,,Servicio de lavado de coches
161,Lavado de Autos JC,San Ramón,4.8,14,9 6241 8991,Sgto. Aldea 131,,Servicio de lavado de coches
162,MateGarage,Maipú,4.8,11,9 9154 6605,C. Sta. Barbara 0857,,Servicio de lavado de coches
163,Car Wash Los Cardenales,San Ramón,4.8,6,9 8405 0341,Plano Regulador 3744,,Servicio de lavado de coches
164,Lavado Moreno & Valdez,Conchalí,4.8,6,9 5694 3862,Av. Dorsal 1301,,Servicio de lavado de coches
165,Lavado de autos san luis,Colina,4.8,6,9 5033 8208,C. Jon San Luis,,Servicio de lavado de coches
166,Master Detailing Chile,Calera de Tango,4.8,4,9 7671 3204,,,Servicio de limpieza de automóviles
167,Cw auto spa,Macul,4.7,75,9 8181 7310,Av. Departamental 671,,Servicio de lavado de coches
168,Lavado de autos Apps-Wash,La Granja,4.7,74,9 9369 1077,Monja Alférez 4928,,Servicio de lavado de coches
169,Lavado de Auto donde Gaby y TiTi,La Florida,4.7,46,9 7927 0013,Sta. Julia 673,,Servicio de lavado de coches
170,Autodetailing San Miguel,San Miguel,4.7,37,,,,Taller de reparación de automóviles
171,CAR WASH MOI,La Florida,4.7,30,9 7171 8800,Walker Martínez 1786,,Servicio de lavado de coches
172,Elite black carwash,Huechuraba,4.7,29,9 4416 7877,Av. Los Zapadores #1488,,Servicio de lavado de coches
173,Smart Cleaner,Cerro Navia,4.7,25,9 5041 1235,Av. José Joaquín Pérez 6830,,Servicio de lavado de coches
174,Lavado los compadres,Independencia,4.7,23,9 7787 9176,Av. Fermín Vivaceta 1380,,Servicio de lavado de coches
175,Lavado de autos L.Baron,Huechuraba,4.7,18,9 4638 8026,,carwashl.baron,Servicio de lavado de coches
176,RUTA69,Independencia,4.7,16,9 9287 2061,,,Servicio de lavado de coches
177,AXIONIZE Auto Services - CarWash y Grabado de Patentes - Las Condes,Las Condes,4.7,15,9 9692 4925,Pachica 8276,,Servicio de lavado de coches
178,Clean Car Melipilla,Melipilla,4.7,14,9 7720 4375,Barros 202,,Servicio de lavado de coches
179,B`ubble Car Spa,Padre Hurtado,4.7,6,9 7881 0605,Ignacio Carrera Pinto 1104,,Servicio de lavado de coches
180,Jeancito.carwash,Estación Central,4.7,3,9 2636 7429,Av. María Rozas Velásquez 55,,Servicio de lavado de coches
181,Tomy Car Express | Lavado Automotríz,Cerro Navia,4.7,3,,José Miguel Infante #5291,,Servicio de lavado de coches
182,Carwash D&T,Melipilla,4.7,3,9 9066 6706,Cierra pronto,dytcarwashcenter,Servicio de lavado de coches
183,rZ Detailer,San Ramón,4.7,3,9 5220 0345,Claudio Arrau 8770,rz_detailer,Autoservicio de lavado de autos
184,ProWash Gran Avenida,San Miguel,4.6,160,,,,Servicio de lavado de coches
185,Lord Car Wash,Santiago Centro,4.6,62,9 5183 4771,Lord Cochrane 1740,lord_carwash,Servicio de lavado de coches
186,Car Wash Del Pelao Jorge,San Joaquín,4.6,54,,Bermudas 6386,,Servicio de lavado de coches
187,Guillecar,La Granja,4.6,52,9 7141 0431,San Martín 105,,Servicio de lavado de coches
188,Hidro Ñuñoa,Ñuñoa,4.6,50,9 2012 9966,Los Almendros 5288,,Servicio de lavado de coches
189,REAL AUTOMOTRIZ,La Florida,4.6,48,(2) 2921 5937,,,Servicio de lavado de coches
190,Washcar&Go Chicureo,Colina,4.6,21,9 3342 2613,Teresa Spikula de Castro,,Servicio de lavado de coches
191,Lava-Car,Quinta Normal,4.6,17,(2) 2682 0451,Av. Carrascal 3277,,Servicio de lavado de coches
192,"Vipcar SPA, Servicio Autorizado, Calidad para usted",San Ramón,4.6,13,9 7214 0826,Angamos 7565,,Taller de automóviles
193,AUTO SPASH - LÁVATE CONMIGO,Cerro Navia,4.6,11,9 3719 6843,Cam. Lo Boza 6683,,Servicio de lavado de coches
194,LAVACAR FROILAN LAGOS SEPULVEDA 858,Macul,4.6,10,9 5315 8307,Froilán Lagos Sepúlveda 858,,Servicio de lavado de coches
195,CLS DETAILING,Santiago Centro,4.6,9,9 9391 7354,Av. El Descanso 537,,Servicio de lavado de coches
196,Carwash AltoBrillo,Quilicura,4.6,9,9 9354 1082,Cam. Lo Echevers 101,cw.altobrillo,Servicio de lavado de coches
197,Centro De Lavado Rapido Y Brilloso 2.0,La Pintana,4.6,9,,"San Martín 410 San Bernardo, O'Higgins 165",,Servicio de lavado de coches
198,San Marino Detailing,Lo Barnechea,4.6,5,9 8394 1459,Arauco 955,,Servicio de limpieza de automóviles
199,San Martin Car Wash,Quilicura,4.5,75,9 3148 3939,,,Servicio de lavado de coches
200,Templo Carwash Arturo,Maipú,4.5,62,9 6272 2868,Republica 1976,,Servicio de lavado de coches
201,Limpieza de Tapiz de Autos a Domicilio,Colina,4.5,55,9 8550 0549,Av. Independencia 1181,,Servicio de lavado de coches
202,Lavado de Autos 360,Talagante,4.5,48,9 6114 3613,Camino Lonquen Norte Paradero 10,,Servicio de lavado de coches
203,3gcarspa,Macul,4.5,17,9 9194 6156,Las Acacias 7795,,Servicio de lavado de coches
204,Lavado AUTOMOTRIZ Pudahuel rápidos y lujosos,Pudahuel,4.5,17,9 6459 1133,El Lazo 8662,,Servicio de lavado de coches
205,LAVADO DE AUTO DOMICILIO Ecoclean Car,Providencia,4.5,15,9 6744 7800,Asturias 77,,Servicio de lavado de coches
206,Detailing Center,Santiago Centro,4.5,11,9 6437 6827,"Calle, Bellavista 0913",,Taller de revisión de automóviles
207,Detail king,San Joaquín,4.5,10,9 4797 1691,San Jorge 2019,,Servicio de lavado de coches
208,Carwash Concept,La Cisterna,4.5,8,,Ines Rivas 183,,Servicio de lavado de coches
209,Lavado Vehículos *Pancho lavado *,Melipilla,4.5,4,9 9799 0646,Cmo. a Melipilla 451,,Servicio de lavado de coches
210,Servicio de lavado de autos Roma,Cerrillos,4.5,4,,4922582 Santiago,,Servicio de lavado de coches
211,Lavado de autos Eben Ezer,Cerro Navia,4.5,2,9 3317 3519,80000002,,Servicio de lavado de coches
212,Inlav Car Wash Lavado de autos y Alfombras,Ñuñoa,4.4,176,9 6745 4229,,,Servicio de lavado de coches
213,Lavado de autos El Cafetero 2,Santiago Centro,4.4,121,9 9065 4600,San Isidro 827,,Servicio de lavado de coches
214,KombiSpa,Puente Alto,4.4,106,9 3874 3247,,,Centro de estética
215,Full wash,La Florida,4.4,82,9 3136 4632,Sta. Cecilia 11466,full___wash_,Servicio de lavado de coches
216,Lava Autos El Cafetero,San Miguel,4.4,69,9 9529 0052,Comandante Whiteside 4903,,Servicio de lavado de coches
217,"Lavado De Autos Colombia #2 Lavado De Motores, Tapiz Y Alfombras",Quilicura,4.4,56,9 5900 7084,Av Manuel Antonio Matta 1920,,Servicio de lavado de coches
218,CarWash H&D,Santiago Centro,4.4,30,9 9153 7607,Av. Gladys Marín Millie 6950,,Servicio de lavado de coches
219,Carrera Detail,Santiago Centro,4.4,8,9 3231 4148,,,Servicio de lavado de coches
220,VERY CLEAN,Santiago Centro,4.4,7,9 3871 2769,Av. Sta. Rosa 1879,,Servicio de lavado de coches
221,Car Wash Maniac,La Granja,4.4,5,9 4885 5662,Viña del Mar 438,,Servicio de lavado de coches
222,CAR WASH MAC PREMIUM,San Miguel,4.3,104,,Av. José de la Riva Agüero 2030,,Servicio de lavado de coches
223,Lavado 764,Santiago Centro,4.3,86,9 4962 9161,Varas Mena 764,764lavado,Servicio de lavado de coches
224,Lavado de Autos Auto-Spa y grabado de pat,Puente Alto,4.3,79,9 3055 5703,Av. Camilo Henríquez 2929,,Servicio de lavado de coches
225,Lavaya 2.0,Cerro Navia,4.3,74,9 6636 6240,Neptuno 1070,lavaya2.0,Servicio de lavado de coches
226,Q'chevere lavado,Santiago Centro,4.3,70,9 3771 1153,,,Servicio de lavado de coches
227,Lavado autos Burbucar4,Santiago Centro,4.3,58,9 9435 2760,San Ignacio de Loyola 1468,,Servicio de lavado de coches
228,Carrera centro lavado de autos,La Florida,4.3,43,,José Miguel Carrera 278,,Servicio de lavado de coches
229,Tio chicha,Puente Alto,4.3,33,9 9941 1629,,lavadodeautostiochicha,Servicio de lavado de coches
230,"Lookin' GOOD Lavado de Autos, Local 1",Maipú,4.3,26,9 5276 2642,Av. Segunda Transversal 3515,,Servicio de lavado de coches
231,Le Flayte,Pudahuel,4.3,21,,Diag. Tte. Cruz,,Servicio de lavado de coches
232,Lavado de Autos “La Morenita”,Puente Alto,4.3,18,,,,Servicio de lavado de coches
233,Automotora y Lavado de vehículos ANDROMA AUTOS SPA,La Granja,4.3,8,9 5477 6916,Yungay 0715,,Servicio de lavado de coches
234,Danri Car Wash,San Joaquín,4.3,7,9 6759 7926,Álvarez de Toledo 441,danricarwash,Servicio de lavado de coches
235,EntreTuercas,El Bosque,4.3,7,(2) 2458 5184,Av. Observatorio 1405,,Servicio de lavado de coches
236,Bandres Autolavado y Detailing,Santiago Centro,4.3,6,9 8637 6680,Av Los Mares 7293 Pudahuel Sur,,Servicio de lavado de coches
237,"Lavadero de autos ""La gran familia""",Independencia,4.3,6,,Las Enredaderas 2591,,Servicio de lavado de coches
238,"Lavado de Autos ""La Copa""",La Granja,4.3,3,9 9131 1471,Yungay 543,,Servicio de lavado de coches
239,Lavado de Autos Sexta Avenida,San Miguel,4.2,196,9 5208 4031,Sexta Av. 1448,,Servicio de lavado de coches
240,Pro car autolavado,Melipilla,4.2,15,9 5321 9185,Silva Chávez 182,,Servicio de lavado de coches
241,Horse Power Car Wash,Santiago Centro,4.2,6,9 9674 3816,San Pablo 3955,,Servicio de lavado de coches
242,ELITE ONE SERVICIOS SPA,Santiago Centro,4.2,5,9 3194 9061,,team_elite_one,Servicio de lavado de coches
243,Lavado de autos Clean Detailing,Pedro Aguirre Cerda,4.2,5,9 7546 7357,Av. Cooperación 4696,,Servicio de lavado de coches
244,Meléndez Lavado Automotriz,Lo Barnechea,4.2,5,,Av. Los Pajaritos 3932,,Servicio de lavado de coches
245,Marassa lavado auto,Renca,4.2,5,,Arturo Prat 4928,,Servicio de lavado de coches
246,"Lavado de Autos ""Fabián & Camila""",La Granja,4.2,5,9 8743 0240,Yungay 0579,,Servicio de lavado de coches
247,Lavado Vehículos Conchalí CAR WASH Lavado Integral,Renca,4.1,120,9 4561 9875,Av. Cardenal José María Caro 1907,car_wash_chile,Servicio de lavado de coches
248,Tsunami Car Wash,Santiago Centro,4.1,107,9 3020 9953,Abierto,,Servicio de lavado de coches
249,Donde Camilo II,Macul,4.1,98,9 9533 5108,Av. Rodrigo de Araya 2781,,Servicio de lavado de coches
250,Laván,La Florida,4.1,73,9 9913 3478,Enrique Olivares 1168,,Servicio de lavado de coches
251,auto_lavado_gp,Santiago Centro,4.1,56,9 5375 7479,Av. Fermín Vivaceta 458,,Servicio de lavado de coches
252,Auto lavados Lucho,Puente Alto,4.1,34,9 7743 2866,Independencia 45,,Servicio de lavado de coches
253,"Lavacar ""Rio""",Santiago Centro,4.1,31,,Av. Mapocho 2392,,Servicio de lavado de coches
254,Lavado de Autos TRUJILLO ll,Macul,4.1,30,9 5347 4731,,,Servicio de lavado de coches
255,Orange Servicentro,Santiago Centro,4.1,28,9 6357 2434,Gral. Amengual 470,,Servicio de lavado de coches
256,Lavado Tapiz de Autos a Domicilio,Macul,4.1,18,9 3574 7971,Gabriela Mistral 6105,,Servicio de lavado de coches
257,Eco Smart Wash,Macul,4.1,17,,San Juan 4469,,Servicio de lavado de coches
258,Rc Pulidos,Melipilla,4.1,15,9 6565 4149,Abierto,,Taller de chapa y pintura
259,@topcarwashpremium,Colina,4.1,9,9 5614 4151,Alba 3 chicureo Colina,,Servicio de lavado de coches
260,Powerwash San Bernardo Lavado De Autos,San Bernardo,4.0,47,,Almte. Riveros 1003,,Servicio de lavado de coches
261,MHL Autolavado,Independencia,4.0,39,9 9240 5692,Av. Independencia 694,,Servicio de lavado de coches
262,AUTOFULL-CAR WASH,Santiago Centro,4.0,24,9 9518 7103,Av. Sta. Rosa 6495,,Servicio de lavado de coches
